"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC-REG-002: Should show error when registering with an existing email","firefox","2026-06-28","skipped","2026-06-28","User Registration","register/register.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","5266","TC-CART-002: Cart should still contain products after navigating directly to cart","chromium","2026-06-28","failed","2026-06-28","Add Product To Cart","cart/cart.spec.ts","",""
"","1","TC-LOGIN-003: Should show error when logging in with non-existent email","webkit","2026-06-28","skipped","2026-06-28","User Login","login/login.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","5762","TC-CART-002: Cart should still contain products after navigating directly to cart","webkit","2026-06-28","failed","2026-06-28","Add Product To Cart","cart/cart.spec.ts","",""
"","0","TC-LOGIN-002: Should show error when logging in with incorrect password","chromium","2026-06-28","skipped","2026-06-28","User Login","login/login.spec.ts","",""
"","0","TC-LOGIN-002: Should show error when logging in with incorrect password","firefox","2026-06-28","skipped","2026-06-28","User Login","login/login.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","5807","TC-CART-001: Should add 2 products to cart and verify their details","webkit","2026-06-28","failed","2026-06-28","Add Product To Cart","cart/cart.spec.ts","",""
"","0","TC-REG-002: Should show error when registering with an existing email","chromium","2026-06-28","skipped","2026-06-28","User Registration","register/register.spec.ts","",""
"","522","TC-LOGIN-001: Should login successfully with the newly registered account","chromium","2026-06-28","failed","2026-06-28","User Login","login/login.spec.ts","",""
"","18747","TC-REG-001: Should register a new user account successfully","webkit","2026-06-28","failed","2026-06-28","User Registration","register/register.spec.ts","",""
"","0","TC-REG-002: Should show error when registering with an existing email","webkit","2026-06-28","skipped","2026-06-28","User Registration","register/register.spec.ts","",""
"","1","TC-LOGIN-003: Should show error when logging in with non-existent email","firefox","2026-06-28","skipped","2026-06-28","User Login","login/login.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","5254","TC-CART-001: Should add 2 products to cart and verify their details","chromium","2026-06-28","failed","2026-06-28","Add Product To Cart","cart/cart.spec.ts","",""
"","526","TC-REG-001: Should register a new user account successfully","chromium","2026-06-28","failed","2026-06-28","User Registration","register/register.spec.ts","",""
"","9062","Authenticate: Login with test account from .env","setup","2026-06-28","failed","2026-06-28","","auth/auth.setup.ts","",""
"","1","TC-LOGIN-001: Should login successfully with the newly registered account","firefox","2026-06-28","failed","2026-06-28","User Login","login/login.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","6140","TC-CART-001: Should add 2 products to cart and verify their details","firefox","2026-06-28","failed","2026-06-28","Add Product To Cart","cart/cart.spec.ts","",""
"","0","TC-LOGIN-002: Should show error when logging in with incorrect password","webkit","2026-06-28","skipped","2026-06-28","User Login","login/login.spec.ts","",""
"","15183","TC-REG-001: Should register a new user account successfully","firefox","2026-06-28","failed","2026-06-28","User Registration","register/register.spec.ts","",""
"","18146","TC-LOGIN-001: Should login successfully with the newly registered account","webkit","2026-06-28","failed","2026-06-28","User Login","login/login.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","6096","TC-CART-002: Cart should still contain products after navigating directly to cart","firefox","2026-06-28","failed","2026-06-28","Add Product To Cart","cart/cart.spec.ts","",""
"","0","TC-LOGIN-003: Should show error when logging in with non-existent email","chromium","2026-06-28","skipped","2026-06-28","User Login","login/login.spec.ts","",""
