"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","8317","TC-CART-001: Should add 2 products to cart and verify their details","webkit","Thu May 07 04:29:39 UTC 2026","passed","Thu May 07 04:29:47 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","6878","TC-CART-002: Cart should still contain products after navigating directly to cart","firefox","Thu May 07 04:29:47 UTC 2026","passed","Thu May 07 04:29:53 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1532","TC-LOGIN-002: Should show error when logging in with incorrect password","chromium","Thu May 07 04:29:58 UTC 2026","passed","Thu May 07 04:30:00 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","3364","TC-REG-002: Should show error when registering with an existing email","webkit","Thu May 07 04:30:08 UTC 2026","passed","Thu May 07 04:30:12 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","5110","TC-REG-001: Should register a new user account successfully","webkit","Thu May 07 04:30:03 UTC 2026","passed","Thu May 07 04:30:08 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","5071","TC-CART-001: Should add 2 products to cart and verify their details","firefox","Thu May 07 04:29:41 UTC 2026","passed","Thu May 07 04:29:46 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"","2913","Authenticate: Login with test account from .env","setup","Thu May 07 04:29:54 UTC 2026","passed","Thu May 07 04:29:57 UTC 2026","","auth/auth.setup.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","4100","TC-CART-001: Should add 2 products to cart and verify their details","chromium","Thu May 07 04:29:44 UTC 2026","passed","Thu May 07 04:29:48 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","2207","TC-REG-002: Should show error when registering with an existing email","firefox","Thu May 07 04:30:05 UTC 2026","passed","Thu May 07 04:30:08 UTC 2026","User Registration","register/register.spec.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","16716","TC-CHECKOUT-001: Should complete full checkout flow successfully","webkit:auth","Thu May 07 04:29:46 UTC 2026","passed","Thu May 07 04:30:03 UTC 2026","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","8626","TC-CHECKOUT-001: Should complete full checkout flow successfully","chromium:auth","Thu May 07 04:29:58 UTC 2026","passed","Thu May 07 04:30:07 UTC 2026","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","2194","TC-LOGIN-002: Should show error when logging in with incorrect password","webkit","Thu May 07 04:29:58 UTC 2026","passed","Thu May 07 04:30:01 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","3285","TC-LOGIN-001: Should login successfully with the newly registered account","chromium","Thu May 07 04:29:54 UTC 2026","passed","Thu May 07 04:29:57 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","4657","TC-CART-002: Cart should still contain products after navigating directly to cart","chromium","Thu May 07 04:29:49 UTC 2026","passed","Thu May 07 04:29:54 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","4075","TC-LOGIN-001: Should login successfully with the newly registered account","webkit","Thu May 07 04:29:54 UTC 2026","passed","Thu May 07 04:29:58 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","6251","TC-CART-002: Cart should still contain products after navigating directly to cart","webkit","Thu May 07 04:29:48 UTC 2026","passed","Thu May 07 04:29:54 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","4063","TC-REG-001: Should register a new user account successfully","chromium","Thu May 07 04:30:01 UTC 2026","passed","Thu May 07 04:30:05 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","2551","TC-REG-002: Should show error when registering with an existing email","chromium","Thu May 07 04:30:05 UTC 2026","passed","Thu May 07 04:30:08 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1514","TC-LOGIN-003: Should show error when logging in with non-existent email","firefox","Thu May 07 04:29:59 UTC 2026","passed","Thu May 07 04:30:01 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1285","TC-LOGIN-003: Should show error when logging in with non-existent email","chromium","Thu May 07 04:30:00 UTC 2026","passed","Thu May 07 04:30:01 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1955","TC-LOGIN-002: Should show error when logging in with incorrect password","firefox","Thu May 07 04:29:57 UTC 2026","passed","Thu May 07 04:29:59 UTC 2026","User Login","login/login.spec.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","8580","TC-CHECKOUT-001: Should complete full checkout flow successfully","firefox:auth","Thu May 07 04:29:53 UTC 2026","passed","Thu May 07 04:30:02 UTC 2026","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","2254","TC-LOGIN-003: Should show error when logging in with non-existent email","webkit","Thu May 07 04:30:01 UTC 2026","passed","Thu May 07 04:30:03 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","3107","TC-LOGIN-001: Should login successfully with the newly registered account","firefox","Thu May 07 04:29:53 UTC 2026","passed","Thu May 07 04:29:57 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","4557","TC-REG-001: Should register a new user account successfully","firefox","Thu May 07 04:30:01 UTC 2026","passed","Thu May 07 04:30:05 UTC 2026","User Registration","register/register.spec.ts","",""
