"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","5327","TC-REG-001: Should register a new user account successfully","webkit","Fri May 15 04:44:12 UTC 2026","passed","Fri May 15 04:44:17 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","2025","TC-REG-002: Should show error when registering with an existing email","firefox","Fri May 15 04:43:10 UTC 2026","passed","Fri May 15 04:43:12 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","2036","TC-LOGIN-001: Should login successfully with the newly registered account","chromium","Fri May 15 04:42:51 UTC 2026","passed","Fri May 15 04:42:53 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","1435","TC-REG-002: Should show error when registering with an existing email","chromium","Fri May 15 04:43:01 UTC 2026","passed","Fri May 15 04:43:02 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1591","TC-LOGIN-003: Should show error when logging in with non-existent email","firefox","Fri May 15 04:43:04 UTC 2026","passed","Fri May 15 04:43:05 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","3153","TC-LOGIN-001: Should login successfully with the newly registered account","webkit","Fri May 15 04:44:05 UTC 2026","passed","Fri May 15 04:44:08 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","4063","TC-REG-001: Should register a new user account successfully","firefox","Fri May 15 04:43:06 UTC 2026","passed","Fri May 15 04:43:10 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","5590","TC-CART-001: Should add 2 products to cart and verify their details","firefox","Fri May 15 04:42:47 UTC 2026","passed","Fri May 15 04:42:53 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","3323","TC-REG-001: Should register a new user account successfully","chromium","Fri May 15 04:42:57 UTC 2026","passed","Fri May 15 04:43:00 UTC 2026","User Registration","register/register.spec.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","17900","TC-CHECKOUT-001: Should complete full checkout flow successfully","webkit:auth","Fri May 15 04:42:47 UTC 2026","passed","Fri May 15 04:43:05 UTC 2026","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1317","TC-LOGIN-003: Should show error when logging in with non-existent email","chromium","Fri May 15 04:42:55 UTC 2026","passed","Fri May 15 04:42:57 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","2770","TC-REG-002: Should show error when registering with an existing email","webkit","Fri May 15 04:44:18 UTC 2026","passed","Fri May 15 04:44:20 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1501","TC-LOGIN-002: Should show error when logging in with incorrect password","chromium","Fri May 15 04:42:54 UTC 2026","passed","Fri May 15 04:42:55 UTC 2026","User Login","login/login.spec.ts","",""
