"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1414","TC-LOGIN-003: Should show error when logging in with non-existent email","firefox","Sat Apr 18 10:38:25 UTC 2026","passed","Sat Apr 18 10:38:27 UTC 2026","User Login","login/login.spec.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","14571","TC-CHECKOUT-001: Should complete full checkout flow successfully","firefox:auth","Sat Apr 18 10:38:11 UTC 2026","passed","Sat Apr 18 10:38:25 UTC 2026","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","7853","TC-CHECKOUT-001: Should complete full checkout flow successfully","chromium:auth","Sat Apr 18 10:38:09 UTC 2026","passed","Sat Apr 18 10:38:17 UTC 2026","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","2134","TC-LOGIN-003: Should show error when logging in with non-existent email","webkit","Sat Apr 18 10:38:31 UTC 2026","passed","Sat Apr 18 10:38:33 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","3235","TC-LOGIN-001: Should login successfully with the newly registered account","webkit","Sat Apr 18 10:38:24 UTC 2026","passed","Sat Apr 18 10:38:27 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","3878","TC-CART-001: Should add 2 products to cart and verify their details","chromium","Sat Apr 18 10:38:13 UTC 2026","passed","Sat Apr 18 10:38:17 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","3382","TC-REG-001: Should register a new user account successfully","chromium","Sat Apr 18 10:38:28 UTC 2026","passed","Sat Apr 18 10:38:32 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1723","TC-LOGIN-002: Should show error when logging in with incorrect password","firefox","Sat Apr 18 10:38:23 UTC 2026","passed","Sat Apr 18 10:38:25 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","5676","TC-CART-001: Should add 2 products to cart and verify their details","firefox","Sat Apr 18 10:38:09 UTC 2026","passed","Sat Apr 18 10:38:15 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1251","TC-LOGIN-003: Should show error when logging in with non-existent email","chromium","Sat Apr 18 10:38:27 UTC 2026","passed","Sat Apr 18 10:38:28 UTC 2026","User Login","login/login.spec.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","12981","TC-CHECKOUT-001: Should complete full checkout flow successfully","webkit:auth","Sat Apr 18 10:38:16 UTC 2026","passed","Sat Apr 18 10:38:29 UTC 2026","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","5145","TC-CART-002: Cart should still contain products after navigating directly to cart","webkit","Sat Apr 18 10:38:19 UTC 2026","passed","Sat Apr 18 10:38:24 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","2791","TC-LOGIN-001: Should login successfully with the newly registered account","chromium","Sat Apr 18 10:38:22 UTC 2026","passed","Sat Apr 18 10:38:24 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","2203","TC-REG-002: Should show error when registering with an existing email","chromium","Sat Apr 18 10:38:32 UTC 2026","passed","Sat Apr 18 10:38:34 UTC 2026","User Registration","register/register.spec.ts","",""
"","2691","Authenticate: Login with test account from .env","setup","Sat Apr 18 10:38:13 UTC 2026","passed","Sat Apr 18 10:38:16 UTC 2026","","auth/auth.setup.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","2976","TC-REG-002: Should show error when registering with an existing email","webkit","Sat Apr 18 10:38:38 UTC 2026","passed","Sat Apr 18 10:38:41 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","2721","TC-LOGIN-002: Should show error when logging in with incorrect password","webkit","Sat Apr 18 10:38:28 UTC 2026","passed","Sat Apr 18 10:38:31 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","4766","TC-CART-002: Cart should still contain products after navigating directly to cart","firefox","Sat Apr 18 10:38:16 UTC 2026","passed","Sat Apr 18 10:38:20 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","4869","TC-CART-002: Cart should still contain products after navigating directly to cart","chromium","Sat Apr 18 10:38:17 UTC 2026","passed","Sat Apr 18 10:38:22 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","4516","TC-REG-001: Should register a new user account successfully","firefox","Sat Apr 18 10:38:27 UTC 2026","passed","Sat Apr 18 10:38:31 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","2070","TC-REG-002: Should show error when registering with an existing email","firefox","Sat Apr 18 10:38:31 UTC 2026","passed","Sat Apr 18 10:38:34 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","5398","TC-REG-001: Should register a new user account successfully","webkit","Sat Apr 18 10:38:33 UTC 2026","passed","Sat Apr 18 10:38:38 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","10389","TC-CART-001: Should add 2 products to cart and verify their details","webkit","Sat Apr 18 10:38:08 UTC 2026","passed","Sat Apr 18 10:38:18 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1774","TC-LOGIN-002: Should show error when logging in with incorrect password","chromium","Sat Apr 18 10:38:25 UTC 2026","passed","Sat Apr 18 10:38:27 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","2393","TC-LOGIN-001: Should login successfully with the newly registered account","firefox","Sat Apr 18 10:38:20 UTC 2026","passed","Sat Apr 18 10:38:23 UTC 2026","User Login","login/login.spec.ts","",""
