"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","1705","TC-REG-002: Should show error when registering with an existing email","chromium","Sun Apr 19 02:48:19 UTC 2026","passed","Sun Apr 19 02:48:21 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","4932","TC-REG-001: Should register a new user account successfully","firefox","Sun Apr 19 02:48:04 UTC 2026","passed","Sun Apr 19 02:48:09 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","4250","TC-REG-001: Should register a new user account successfully","chromium","Sun Apr 19 02:48:14 UTC 2026","passed","Sun Apr 19 02:48:19 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","8237","TC-CART-002: Cart should still contain products after navigating directly to cart","webkit","Sun Apr 19 02:48:56 UTC 2026","passed","Sun Apr 19 02:49:04 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1382","TC-LOGIN-003: Should show error when logging in with non-existent email","chromium","Sun Apr 19 02:48:13 UTC 2026","passed","Sun Apr 19 02:48:14 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","2311","TC-REG-002: Should show error when registering with an existing email","firefox","Sun Apr 19 02:48:09 UTC 2026","passed","Sun Apr 19 02:48:11 UTC 2026","User Registration","register/register.spec.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","12431","TC-CHECKOUT-001: Should complete full checkout flow successfully","firefox:auth","Sun Apr 19 02:47:53 UTC 2026","passed","Sun Apr 19 02:48:05 UTC 2026","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1531","TC-LOGIN-002: Should show error when logging in with incorrect password","chromium","Sun Apr 19 02:48:11 UTC 2026","passed","Sun Apr 19 02:48:13 UTC 2026","User Login","login/login.spec.ts","",""
"","4601","Authenticate: Login with test account from .env","setup","Sun Apr 19 02:48:01 UTC 2026","passed","Sun Apr 19 02:48:06 UTC 2026","","auth/auth.setup.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","7573","TC-CHECKOUT-001: Should complete full checkout flow successfully","chromium:auth","Sun Apr 19 02:48:07 UTC 2026","passed","Sun Apr 19 02:48:14 UTC 2026","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","6226","TC-CART-001: Should add 2 products to cart and verify their details","chromium","Sun Apr 19 02:47:56 UTC 2026","passed","Sun Apr 19 02:48:02 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","7635","TC-CART-001: Should add 2 products to cart and verify their details","webkit","Sun Apr 19 02:48:16 UTC 2026","passed","Sun Apr 19 02:48:24 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1895","TC-LOGIN-003: Should show error when logging in with non-existent email","firefox","Sun Apr 19 02:48:02 UTC 2026","passed","Sun Apr 19 02:48:03 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","6105","TC-CART-001: Should add 2 products to cart and verify their details","firefox","Sun Apr 19 02:47:40 UTC 2026","passed","Sun Apr 19 02:47:47 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","5448","TC-CART-002: Cart should still contain products after navigating directly to cart","firefox","Sun Apr 19 02:47:47 UTC 2026","passed","Sun Apr 19 02:47:52 UTC 2026","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","5909","TC-LOGIN-001: Should login successfully with the newly registered account","firefox","Sun Apr 19 02:47:52 UTC 2026","passed","Sun Apr 19 02:47:58 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","3685","TC-REG-002: Should show error when registering with an existing email","webkit","Sun Apr 19 02:49:27 UTC 2026","passed","Sun Apr 19 02:49:31 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","6522","TC-LOGIN-001: Should login successfully with the newly registered account","webkit","Sun Apr 19 02:49:05 UTC 2026","passed","Sun Apr 19 02:49:11 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","2454","TC-LOGIN-001: Should login successfully with the newly registered account","chromium","Sun Apr 19 02:48:08 UTC 2026","passed","Sun Apr 19 02:48:11 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","8325","TC-REG-001: Should register a new user account successfully","webkit","Sun Apr 19 02:49:18 UTC 2026","passed","Sun Apr 19 02:49:27 UTC 2026","User Registration","register/register.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","3241","TC-LOGIN-003: Should show error when logging in with non-existent email","webkit","Sun Apr 19 02:49:15 UTC 2026","passed","Sun Apr 19 02:49:18 UTC 2026","User Login","login/login.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","2622","TC-LOGIN-002: Should show error when logging in with incorrect password","firefox","Sun Apr 19 02:47:59 UTC 2026","passed","Sun Apr 19 02:48:02 UTC 2026","User Login","login/login.spec.ts","",""
