"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1046","TC-LOGIN-002: Should show error when logging in with incorrect password","firefox","2026-07-05","passed","2026-07-05","User Login","login/login.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","3312","TC-REG-001: Should register a new user account successfully","chromium","2026-07-05","passed","2026-07-05","User Registration","register/register.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","4724","TC-CART-002: Cart should still contain products after navigating directly to cart","firefox","2026-07-05","passed","2026-07-05","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","3116","TC-LOGIN-001: Should login successfully with the newly registered account","webkit","2026-07-05","passed","2026-07-05","User Login","login/login.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1257","TC-LOGIN-003: Should show error when logging in with non-existent email","firefox","2026-07-05","passed","2026-07-05","User Login","login/login.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","5648","TC-CART-002: Cart should still contain products after navigating directly to cart","webkit","2026-07-05","passed","2026-07-05","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","5235","TC-CART-001: Should add 2 products to cart and verify their details","firefox","2026-07-05","passed","2026-07-05","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","2564","TC-LOGIN-002: Should show error when logging in with incorrect password","webkit","2026-07-05","passed","2026-07-05","User Login","login/login.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","3709","TC-REG-001: Should register a new user account successfully","firefox","2026-07-05","passed","2026-07-05","User Registration","register/register.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","4846","TC-CART-002: Cart should still contain products after navigating directly to cart","chromium","2026-07-05","passed","2026-07-05","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","1683","TC-REG-002: Should show error when registering with an existing email","chromium","2026-07-05","passed","2026-07-05","User Registration","register/register.spec.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","12594","TC-CHECKOUT-001: Should complete full checkout flow successfully","webkit:auth","2026-07-05","passed","2026-07-05","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1643","TC-LOGIN-002: Should show error when logging in with incorrect password","chromium","2026-07-05","passed","2026-07-05","User Login","login/login.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","11475","TC-CART-001: Should add 2 products to cart and verify their details","webkit","2026-07-05","passed","2026-07-05","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","3019","TC-LOGIN-003: Should show error when logging in with non-existent email","webkit","2026-07-05","passed","2026-07-05","User Login","login/login.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","2105","TC-LOGIN-001: Should login successfully with the newly registered account","firefox","2026-07-05","passed","2026-07-05","User Login","login/login.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","3730","TC-REG-002: Should show error when registering with an existing email","webkit","2026-07-05","passed","2026-07-05","User Registration","register/register.spec.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","6784","TC-CHECKOUT-001: Should complete full checkout flow successfully","chromium:auth","2026-07-05","passed","2026-07-05","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","6329","TC-REG-001: Should register a new user account successfully","webkit","2026-07-05","passed","2026-07-05","User Registration","register/register.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","3979","TC-CART-001: Should add 2 products to cart and verify their details","chromium","2026-07-05","passed","2026-07-05","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","1984","TC-REG-002: Should show error when registering with an existing email","firefox","2026-07-05","passed","2026-07-05","User Registration","register/register.spec.ts","",""
"","9108","Authenticate: Login with test account from .env","setup","2026-07-05","failed","2026-07-05","","auth/auth.setup.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1684","TC-LOGIN-003: Should show error when logging in with non-existent email","chromium","2026-07-05","passed","2026-07-05","User Login","login/login.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","2192","TC-LOGIN-001: Should login successfully with the newly registered account","chromium","2026-07-05","passed","2026-07-05","User Login","login/login.spec.ts","",""
