"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","2989","TC-REG-001: Should register a new user account successfully","chromium","2026-08-22","passed","2026-08-22","User Registration","register/register.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","5496","TC-CART-001: Should add 2 products to cart and verify their details","firefox","2026-08-22","passed","2026-08-22","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","2851","TC-LOGIN-001: Should login successfully with the newly registered account","chromium","2026-08-22","passed","2026-08-22","User Login","login/login.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","3064","TC-REG-002: Should show error when registering with an existing email","webkit","2026-08-22","passed","2026-08-22","User Registration","register/register.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","3271","TC-REG-001: Should register a new user account successfully","firefox","2026-08-22","passed","2026-08-22","User Registration","register/register.spec.ts","",""
"","2949","Authenticate: Login with test account from .env","setup","2026-08-22","passed","2026-08-22","","auth/auth.setup.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","6795","TC-CHECKOUT-001: Should complete full checkout flow successfully","chromium:auth","2026-08-22","passed","2026-08-22","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","6456","TC-CART-002: Cart should still contain products after navigating directly to cart","webkit","2026-08-22","passed","2026-08-22","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1686","TC-LOGIN-003: Should show error when logging in with non-existent email","chromium","2026-08-22","passed","2026-08-22","User Login","login/login.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1114","TC-LOGIN-002: Should show error when logging in with incorrect password","firefox","2026-08-22","passed","2026-08-22","User Login","login/login.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","12170","TC-CART-001: Should add 2 products to cart and verify their details","webkit","2026-08-22","passed","2026-08-22","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","2574","TC-LOGIN-003: Should show error when logging in with non-existent email","webkit","2026-08-22","passed","2026-08-22","User Login","login/login.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","4384","TC-CART-002: Cart should still contain products after navigating directly to cart","firefox","2026-08-22","passed","2026-08-22","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","3451","TC-LOGIN-002: Should show error when logging in with incorrect password","webkit","2026-08-22","passed","2026-08-22","User Login","login/login.spec.ts","",""
"Full end-to-end checkout flow: authenticated user adds two products by name, proceeds to checkout, verifies delivery address, places an order, pays with a test card, and confirms ""Order Placed!"" on the final page.","9512","TC-CHECKOUT-001: Should complete full checkout flow successfully","firefox:auth","2026-08-22","passed","2026-08-22","Checkout Flow: Buy Clothes","checkout/checkout.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","1677","TC-REG-002: Should show error when registering with an existing email","firefox","2026-08-22","passed","2026-08-22","User Registration","register/register.spec.ts","",""
"Verifies that logging in with a non-existent email address displays the appropriate error message.","1177","TC-LOGIN-003: Should show error when logging in with non-existent email","firefox","2026-08-22","passed","2026-08-22","User Login","login/login.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","2561","TC-LOGIN-001: Should login successfully with the newly registered account","firefox","2026-08-22","passed","2026-08-22","User Login","login/login.spec.ts","",""
"Verifies that two specific products can be added to the cart by name and that their name, price, and quantity are correct in the cart view.","4025","TC-CART-001: Should add 2 products to cart and verify their details","chromium","2026-08-22","passed","2026-08-22","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies that attempting to sign up with an already-registered email displays the ""Email Address already exist!"" error.","1874","TC-REG-002: Should show error when registering with an existing email","chromium","2026-08-22","passed","2026-08-22","User Registration","register/register.spec.ts","",""
"Verifies successful login with a freshly registered account: correct redirect, username in navbar, and successful logout.","4244","TC-LOGIN-001: Should login successfully with the newly registered account","webkit","2026-08-22","passed","2026-08-22","User Login","login/login.spec.ts","",""
"Verifies that logging in with a correct email but wrong password displays the appropriate error message and keeps the user on /login.","1709","TC-LOGIN-002: Should show error when logging in with incorrect password","chromium","2026-08-22","passed","2026-08-22","User Login","login/login.spec.ts","",""
"Verifies that products added to the cart are still present when navigating directly to /view_cart without using the modal.","4990","TC-CART-002: Cart should still contain products after navigating directly to cart","chromium","2026-08-22","passed","2026-08-22","Add Product To Cart","cart/cart.spec.ts","",""
"Verifies the full end-to-end user registration flow: signup form → account created confirmation → logged-in state → logout.","7406","TC-REG-001: Should register a new user account successfully","webkit","2026-08-22","passed","2026-08-22","User Registration","register/register.spec.ts","",""
